,geometry,n
19,POINT (127.369032625 36.348072312499994),17
20,POINT (127.33173550000001 36.32937875),8
21,POINT (127.33797040000002 36.3300244),5
22,POINT (127.36878163636365 36.36610795454545),22
23,POINT (127.35795165909093 36.35408638636363),45
24,POINT (127.35342630303028 36.351561606060606),32
25,POINT (127.34790214285721 36.352454238095234),42
26,POINT (127.36307399999995 36.365462093023254),42
27,POINT (127.34767899999999 36.34763613333333),15
28,POINT (127.34639075000001 36.341028333333334),12
29,POINT (127.34926116666668 36.33779716666667),6
30,POINT (127.3562217142857 36.365556),9
31,POINT (127.3261482857143 36.36021642857143),6
32,POINT (127.34573660000001 36.366751799999996),6
33,POINT (127.34074646666664 36.3499184),15
34,POINT (127.34047966666667 36.3446),12
35,POINT (127.33750242857141 36.33980871428572),7
36,POINT (127.33396233333333 36.33510233333333),6
37,POINT (127.3698365 36.329440500000004),2
38,POINT (127.3180505 36.337959999999995),2
39,POINT (127.31966800000001 36.342376800000004),5
40,POINT (127.32613525000001 36.34823075),4
41,POINT (127.3336065 36.3497135),4
42,POINT (127.353755 36.34705),1
43,POINT (127.340582 36.333504250000004),4
44,POINT (127.33152733333333 36.35711166666666),11
45,POINT (127.318206 36.359336),2
46,POINT (127.36890185714286 36.36148514285714),8
47,POINT (127.329071 36.352325),1
48,POINT (127.36666349999999 36.338731499999994),4
0,POINT (127.36920527941177 36.352690632352946),67
1,POINT (127.36375615476196 36.356738773809525),84
2,POINT (127.36926833333332 36.358776125000006),43
3,POINT (127.35803671428576 36.358610690476176),39
4,POINT (127.3520603333333 36.359891438596485),58
5,POINT (127.3447733733333 36.36154845333336),73
6,POINT (127.33874584905662 36.36474056603775),49
7,POINT (127.33141170588236 36.366587529411774),33
8,POINT (127.34795679999999 36.327759799999995),10
9,POINT (127.33698833333334 36.33159180952381),20
10,POINT (127.34863365625002 36.33229296875001),32
11,POINT (127.34139054166667 36.332135875),22
12,POINT (127.33055725 36.32998825),6
13,POINT (127.36840063888884 36.334801944444436),34
14,POINT (127.33170041176469 36.351515117647054),17
15,POINT (127.36665727777775 36.34040605555556),18
16,POINT (127.36919884905657 36.34627016981132),54
17,POINT (127.34832994117653 36.35333217647057),31
18,POINT (127.34191525 36.353972999999996),31
19,POINT (127.33685626923072 36.355488461538464),26
20,POINT (127.33923823809525 36.347869809523814),21
21,POINT (127.3362463157895 36.36261313157895),41
22,POINT (127.32533459999999 36.36714610000001),22
23,POINT (127.31834799999999 36.36686159999999),5
24,POINT (127.35837500000001 36.36288269230769),14
25,POINT (127.35916724242422 36.35371293939393),33
26,POINT (127.35352824242428 36.35105854545455),36
27,POINT (127.3635608148148 36.366394629629625),27
28,POINT (127.36898419999997 36.36546383333333),35
29,POINT (127.3652825 36.362763),6
30,POINT (127.34564044444444 36.34816766666667),9
31,POINT (127.3564478 36.33234970000001),20
32,POINT (127.33730209090912 36.338195363636366),12
33,POINT (127.33930916666667 36.342578333333336),6
34,POINT (127.32292041666665 36.34453508333333),12
35,POINT (127.33357486666668 36.35886093333333),15
36,POINT (127.32643721428569 36.34855728571428),14
37,POINT (127.34570042857145 36.36779214285714),9
38,POINT (127.32589300000001 36.332244),4
39,POINT (127.31912499999999 36.3322814),5
40,POINT (127.31897429411765 36.34067099999999),17
41,POINT (127.3234315 36.352551999999996),4
42,POINT (127.318323 36.354721),2
43,POINT (127.36197287499999 36.33407137499999),10
44,POINT (127.31888275 36.3593215),4
45,POINT (127.34929983333332 36.3377525),6
46,POINT (127.3454033 36.3408458),10
47,POINT (127.324126 36.359395),2
48,POINT (127.3540105 36.36414433333333),6
0,POINT (127.3644589642857 36.355803142857134),55
1,POINT (127.36888914285716 36.36613542857143),21
2,POINT (127.3694635217392 36.35739695652173),24
3,POINT (127.36017216666667 36.35923888888888),34
4,POINT (127.35327489743587 36.35925099999999),39
5,POINT (127.34759143749999 36.360228562500005),29
6,POINT (127.36387332142858 36.36535528571429),28
7,POINT (127.36935999999997 36.35153443750001),43
8,POINT (127.32003176923075 36.34208553846154),13
9,POINT (127.35855607692305 36.35379543589744),39
10,POINT (127.35414876470588 36.35092241176471),17
11,POINT (127.35126377272724 36.34987268181818),21
12,POINT (127.34356211111111 36.348540666666665),7
13,POINT (127.33766191666666 36.347608124999994),26
14,POINT (127.33199408333333 36.348830250000006),11
15,POINT (127.32647893333336 36.34871853333333),15
16,POINT (127.32355199999998 36.345159375),8
17,POINT (127.34330968181817 36.36071025),48
18,POINT (127.33613082857144 36.36224442857142),31
19,POINT (127.33243324999998 36.366047625),16
20,POINT (127.32631404999998 36.36706659999999),20
21,POINT (127.31876220000001 36.366859100000006),10
22,POINT (127.33884799999998 36.33093808695653),23
23,POINT (127.3372 36.339114333333335),6
24,POINT (127.34389307692308 36.331677461538455),13
25,POINT (127.35359857142859 36.33217871428572),7
26,POINT (127.35968685714285 36.33332385714286),7
27,POINT (127.3682952 36.334594599999996),15
28,POINT (127.36939713636362 36.345884272727275),27
29,POINT (127.34376300000001 36.35351822222222),0
30,POINT (127.33945040000008 36.355377436363646),65
31,POINT (127.33250285185186 36.35672377777777),25
32,POINT (127.32820566666668 36.359125),0
33,POINT (127.32213300000001 36.359402),0
34,POINT (127.31865566666669 36.359423166666666),7
35,POINT (127.33915175 36.366252125),12
36,POINT (127.35646875 36.366761499999996),4
37,POINT (127.35818162499999 36.3628215),10
38,POINT (127.34807277777779 36.332170000000005),9
39,POINT (127.34789875 36.32752875),4
40,POINT (127.31804650000001 36.337827),2
41,POINT (127.325959 36.359433),10
42,POINT (127.31808 36.354811),2
43,POINT (127.32408699999999 36.352252),2
44,POINT (127.33063440000001 36.3531742),7
45,POINT (127.34733208333331 36.35303145833333),33
46,POINT (127.33213359999999 36.332984599999996),5
47,POINT (127.366576 36.341158),1
48,POINT (127.318218 36.332261),2
49,POINT (127.32465 36.332213),2
0,POINT (127.36963519047619 36.357506142857154),21
1,POINT (127.36385373529413 36.35914111764706),33
2,POINT (127.35852252500004 36.359151099999984),37
3,POINT (127.35238738095242 36.35994361904763),42
4,POINT (127.34532330188681 36.36119986792454),54
5,POINT (127.324016125 36.36711137499999),8
6,POINT (127.32924100000004 36.367152866666665),16
7,POINT (127.3334852 36.36525074999999),19
8,POINT (127.33882396874998 36.36329975),32
9,POINT (127.36918092307691 36.36590376923077),13
10,POINT (127.362902 36.36586300000001),9
11,POINT (127.36730504347827 36.347506565217394),0
12,POINT (127.33631763157899 36.35680405263158),17
13,POINT (127.34121180851066 36.353600680851066),45
14,POINT (127.3498626451613 36.351266870967734),0
15,POINT (127.35594816666665 36.353719222222225),18
16,POINT (127.35697791666665 36.362642333333326),15
17,POINT (127.36410848275862 36.354445448275854),28
18,POINT (127.3688788 36.3521948),30
19,POINT (127.34025572413792 36.34743613793104),27
20,POINT (127.34576512500001 36.3472525),13
21,POINT (127.33932595238093 36.33192147619049),20
22,POINT (127.33361077777778 36.33205166666667),9
23,POINT (127.33656266666667 36.33807466666667),7
24,POINT (127.33874166666665 36.34185866666666),6
25,POINT (127.3698716666667 36.334241999999996),9
26,POINT (127.34794900000001 36.32748533333333),3
27,POINT (127.36413137500001 36.334228375),8
28,POINT (127.3583846875 36.332803312500005),16
29,POINT (127.352487875 36.33213968750001),16
30,POINT (127.34651490909091 36.33209013636363),22
31,POINT (127.3335079090909 36.34880345454546),11
32,POINT (127.32741133333332 36.34855266666667),6
33,POINT (127.31821675 36.36691325),4
34,POINT (127.33030149999999 36.3276855),2
35,POINT (127.33937399999998 36.367582666666664),3
36,POINT (127.33167549999999 36.357201499999995),6
37,POINT (127.35254 36.368193),1
38,POINT (127.3697514 36.3461548),32
39,POINT (127.347101 36.339564833333334),6
40,POINT (127.34561049999999 36.3674515),2
41,POINT (127.3697665 36.3294745),2
42,POINT (127.329416 36.352871),2
43,POINT (127.32691249999999 36.3616765),2
44,POINT (127.34750566666666 36.352309999999996),31
45,POINT (127.359186 36.353611),9
0,POINT (127.33935281818181 36.36773781818181),11
1,POINT (127.36944779411763 36.35777055882353),34
2,POINT (127.33716519512197 36.36304329268292),41
3,POINT (127.33635600000001 36.3566185),14
4,POINT (127.34451911111108 36.36152522222222),54
5,POINT (127.34939630769229 36.35994653846154),0
6,POINT (127.35820322950815 36.36004109836066),56
7,POINT (127.3639384050633 36.35629981012658),80
8,POINT (127.36881606451612 36.34335674193548),31
9,POINT (127.36928165217395 36.34778217391304),23
10,POINT (127.36932191304346 36.35247900000001),45
11,POINT (127.35796328125 36.354326500000006),32
12,POINT (127.3528464117647 36.351404882352945),32
13,POINT (127.34776660869566 36.35244208695652),24
14,POINT (127.34205152631579 36.354524631578954),39
15,POINT (127.36904621212122 36.365951454545446),34
16,POINT (127.36490312000002 36.36274324000001),21
17,POINT (127.36792548484848 36.33561293939395),31
18,POINT (127.31828425 36.338514749999995),4
19,POINT (127.31875785714284 36.36643228571429),7
20,POINT (127.321445 36.342879),6
21,POINT (127.32549066666668 36.347626999999996),9
22,POINT (127.32813500000002 36.35113266666667),6
23,POINT (127.33119059999999 36.35655319999999),5
24,POINT (127.32673366666667 36.35994933333333),3
25,POINT (127.32548476190479 36.36682261904762),21
26,POINT (127.3496572222222 36.35564466666667),11
27,POINT (127.34789171428572 36.32828057142858),7
28,POINT (127.345751 36.367823),2
29,POINT (127.33986284615384 36.34815161538461),15
30,POINT (127.33960244444444 36.34356511111111),7
31,POINT (127.33573766666667 36.33828166666666),6
32,POINT (127.33278471428571 36.331543857142854),7
33,POINT (127.33994968181818 36.33145681818182),22
34,POINT (127.3468241333333 36.33213606666666),15
35,POINT (127.34818299999999 36.33883133333334),6
36,POINT (127.34517799999999 36.339538166666664),6
37,POINT (127.33886324999999 36.3371165),4
38,POINT (127.35811224999999 36.33259283333333),12
39,POINT (127.3521435 36.33219366666667),12
40,POINT (127.36231499999998 36.33446342857143),9
41,POINT (127.3312121111111 36.366451500000004),18
42,POINT (127.35211613636365 36.35978622727273),38
43,POINT (127.33237150000002 36.3492705),6
44,POINT (127.34671081818182 36.34779990909092),11
45,POINT (127.36332984615385 36.366588692307694),16
46,POINT (127.35633 36.368225),2
47,POINT (127.330626 36.327873),1
0,POINT (127.36880105128209 36.357169538461534),36
1,POINT (127.3252402 36.36702460000001),18
2,POINT (127.36216346341459 36.359115926829276),42
3,POINT (127.35647063636365 36.357988151515144),31
4,POINT (127.35027116666662 36.36048258333333),24
5,POINT (127.34386807142855 36.361340428571424),42
6,POINT (127.33848454166669 36.365168249999996),25
7,POINT (127.33066575000001 36.3664855625),13
8,POINT (127.36903370588234 36.34553199999999),17
9,POINT (127.36921142424244 36.3520363939394),33
10,POINT (127.36225484 36.35424875999999),27
11,POINT (127.35423456666668 36.351959733333345),22
12,POINT (127.34858802631582 36.35073326315789),32
13,POINT (127.34228551612902 36.35366496774194),29
14,POINT (127.33730372 36.35518520000001),24
15,POINT (127.33767719999999 36.3604993),0
16,POINT (127.3692904 36.334785),4
17,POINT (127.32637371428571 36.36082485714285),7
18,POINT (127.34796239999999 36.3282938),5
19,POINT (127.34055784999998 36.34781140000001),22
20,POINT (127.33953722222223 36.34288966666667),9
21,POINT (127.33479349999999 36.338378999999996),8
22,POINT (127.333104 36.33240157142857),7
23,POINT (127.338689375 36.33175275),7
24,POINT (127.34716009090909 36.33250345454545),11
25,POINT (127.36905166666666 36.36525109999999),29
26,POINT (127.34569966666668 36.3679005),6
27,POINT (127.32397237499998 36.34576237499999),8
28,POINT (127.33378399999997 36.34800628571429),13
29,POINT (127.32695410000001 36.348972399999994),10
30,POINT (127.36407562499996 36.36456566666667),24
31,POINT (127.3623645 36.367749),0
32,POINT (127.35766299999999 36.33264233333333),6
33,POINT (127.35174299999998 36.332206400000004),5
34,POINT (127.31893633333334 36.36693833333334),3
35,POINT (127.31813987499999 36.338093625),8
36,POINT (127.32010709090909 36.342026090909094),11
37,POINT (127.33175174999998 36.35359783333334),12
38,POINT (127.32317125 36.33678075),4
39,POINT (127.33148879999999 36.357572600000005),7
40,POINT (127.34929149999999 36.338076),4
41,POINT (127.3468735 36.3423885),4
42,POINT (127.34691066666666 36.356771333333334),6
43,POINT (127.35843675000001 36.36250125),8
44,POINT (127.354961 36.36435),3
45,POINT (127.364806 36.33435166666667),4
46,POINT (127.3338215 36.34353275),5
47,POINT (127.36208049999999 36.3681775),5
48,POINT (127.3522588 36.349157000000005),16
49,POINT (127.3340645 36.3278745),3
50,POINT (127.326976 36.332406),2
51,POINT (127.31929066666667 36.33228666666667),3
52,POINT (127.33537975000002 36.361222500000004),22
0,POINT (127.36927480000001 36.36558990000001),20
1,POINT (127.32052416666666 36.36712275),12
2,POINT (127.36463757142857 36.3633161904762),16
3,POINT (127.35958538888889 36.35975319444444),32
4,POINT (127.35576308823532 36.3612396764706),38
5,POINT (127.34995773913045 36.36009052173914),23
6,POINT (127.34404789999996 36.361436524999995),39
7,POINT (127.33893248387096 36.364868354838705),32
8,POINT (127.3332168888889 36.366193111111116),18
9,POINT (127.3274252 36.366890950000005),20
10,POINT (127.36919929545456 36.352437045454536),44
11,POINT (127.368577625 36.334612749999984),24
12,POINT (127.36887784615384 36.34825534615384),26
13,POINT (127.36880925714286 36.34376651428572),32
14,POINT (127.36664085714287 36.338721642857145),17
15,POINT (127.3181142 36.3380806),5
16,POINT (127.31999810526315 36.34232489473684),19
17,POINT (127.32459287500001 36.346508),8
18,POINT (127.32734428571426 36.34980371428571),7
19,POINT (127.33304244444444 36.35599750000001),18
20,POINT (127.33583793333334 36.35926566666667),15
21,POINT (127.3700286923077 36.35735392307692),13
22,POINT (127.36427313636364 36.35591709090909),43
23,POINT (127.35821940000001 36.332834),6
24,POINT (127.35428628571427 36.33216528571429),12
25,POINT (127.34775570588235 36.332296411764716),17
26,POINT (127.33891635714285 36.331932285714295),14
27,POINT (127.33239999999996 36.33246072727274),11
28,POINT (127.32596799999999 36.33225325),12
29,POINT (127.31897915384613 36.332262461538456),13
30,POINT (127.32608266666666 36.35956033333333),6
31,POINT (127.34810949999999 36.327419000000006),2
32,POINT (127.36180585714285 36.33431985714286),8
33,POINT (127.34157658333338 36.354122916666675),25
34,POINT (127.34646400000001 36.348438333333334),0
35,POINT (127.35051419999999 36.3524978),0
36,POINT (127.33974866666668 36.34712006666667),14
37,POINT (127.35783603999998 36.354210280000004),25
38,POINT (127.34731384374997 36.35220278124999),31
39,POINT (127.35288730769231 36.351382769230774),29
40,POINT (127.33277633333334 36.34945566666667),3
41,POINT (127.34563033333335 36.367685333333334),3
42,POINT (127.36965479999999 36.3293936),5
43,POINT (127.362867 36.366957),8
44,POINT (127.33825240000002 36.3426726),6
45,POINT (127.356136 36.368223),1
46,POINT (127.3476075 36.347077),9
47,POINT (127.34402539999999 36.340558400000006),5
48,POINT (127.3368955 36.3381045),4
49,POINT (127.318226 36.359348),2
50,POINT (127.336696 36.35267),6
0,POINT (127.35852499999999 36.35456785483873),56
1,POINT (127.34304880000002 36.35478489090908),55
2,POINT (127.35303427586213 36.359040568965526),53
3,POINT (127.36429832857144 36.354548900000005),61
4,POINT (127.34814300000001 36.35941338461539),42
5,POINT (127.33892928571429 36.363657857142854),0
6,POINT (127.33896974358973 36.36481951282052),45
7,POINT (127.33198876923076 36.35719273076923),26
8,POINT (127.33907079629623 36.35422407407406),45
9,POINT (127.36928901818182 36.34575356363637),57
10,POINT (127.36941216923076 36.35256150769229),61
11,POINT (127.36884558974357 36.366355923076924),41
12,POINT (127.33301833333336 36.365890416666666),24
13,POINT (127.3270279 36.3673537),20
14,POINT (127.34399532432431 36.360472959459464),77
15,POINT (127.35807034545455 36.361259999999994),53
16,POINT (127.36373760465116 36.36491799999999),39
17,POINT (127.36238414285712 36.367737428571424),7
18,POINT (127.35335434090915 36.350818386363635),44
19,POINT (127.34821208510631 36.349695808510624),47
20,POINT (127.34380941176471 36.3485604117647),19
21,POINT (127.33904937142854 36.34903008571428),30
22,POINT (127.3302321818182 36.3514249090909),23
23,POINT (127.32564705882353 36.34770852941177),17
24,POINT (127.3198698125 36.3418465),16
25,POINT (127.33777995454547 36.360439727272734),44
26,POINT (127.36870011111111 36.334413111111104),9
27,POINT (127.34044566666667 36.34346566666667),11
28,POINT (127.33535166666667 36.33811133333333),6
29,POINT (127.33255557142856 36.33255042857143),7
30,POINT (127.33852655555555 36.332247111111116),9
31,POINT (127.3472444 36.331758199999996),0
32,POINT (127.34799269230767 36.32850576923077),15
33,POINT (127.354179 36.33209075),8
34,POINT (127.35989911111109 36.33327188888889),9
35,POINT (127.34749191304348 36.342273478260864),23
36,POINT (127.36693094736843 36.33958268421052),17
37,POINT (127.36989105555556 36.3579876111111),22
38,POINT (127.3625075675676 36.35858178378378),49
39,POINT (127.34884605000002 36.354509650000004),24
40,POINT (127.349006625 36.33447654166667),26
41,POINT (127.31862375 36.35939175),4
42,POINT (127.32609739999998 36.359436300000006),10
43,POINT (127.33398866666668 36.342959666666665),3
44,POINT (127.344288 36.33210033333334),7
45,POINT (127.31812 36.332256),2
46,POINT (127.32513166666666 36.332201),3
47,POINT (127.35205450000001 36.366957),2
48,POINT (127.3587965 36.364810500000004),11
49,POINT (127.31809 36.36678),1
0,POINT (127.34260085263159 36.354880610526315),88
1,POINT (127.36950203875969 36.35242474418607),128
2,POINT (127.3482807 36.35286388333331),63
3,POINT (127.35324060416669 36.350697375),49
4,POINT (127.35816561111106 36.35397712500001),72
5,POINT (127.36383748717948 36.35610316666667),157
6,POINT (127.36892936363643 36.36550470909091),55
7,POINT (127.33957145454546 36.33140475757577),33
8,POINT (127.36393280357147 36.363625000000006),55
9,POINT (127.35904750862068 36.35998583620689),108
10,POINT (127.34726607142852 36.347604714285715),28
11,POINT (127.34789030769228 36.340587769230766),13
12,POINT (127.33956733333333 36.33783666666667),3
13,POINT (127.3186894375 36.366946937499996),16
14,POINT (127.3538867666667 36.35915094444446),96
15,POINT (127.34912715151512 36.359194262626275),104
16,POINT (127.34447937837834 36.36126637837837),106
17,POINT (127.33847267142859 36.36489144285715),70
18,POINT (127.33219913888891 36.36645075000001),38
19,POINT (127.32607685714287 36.36710428571428),33
20,POINT (127.33673391666665 36.36003550000001),37
21,POINT (127.33143115 36.357087650000004),20
22,POINT (127.33782520408162 36.35459920408164),47
23,POINT (127.36207363636363 36.36713063636364),12
24,POINT (127.36925423214288 36.35756117857143),59
25,POINT (127.36965899999998 36.334388749999995),17
26,POINT (127.3606478 36.3335616),14
27,POINT (127.34013162857141 36.34916617142856),40
28,POINT (127.33364023999998 36.349539320000005),24
29,POINT (127.32588155555553 36.347741703703704),26
30,POINT (127.32053954545454 36.34279054545454),22
31,POINT (127.31868824999998 36.339180375000005),8
32,POINT (127.36920008955221 36.345562283582105),65
33,POINT (127.36686165217387 36.33760973913043),21
34,POINT (127.35446216666666 36.33219591666667),12
35,POINT (127.34763963636365 36.33256918181817),24
36,POINT (127.32924983333334 36.35127411111111),20
37,POINT (127.31830233333335 36.332273111111114),9
38,POINT (127.32493409090911 36.332265909090914),11
39,POINT (127.33183975 36.33220875),8
40,POINT (127.31818600000001 36.35930533333333),3
41,POINT (127.3241055 36.359347),4
42,POINT (127.34789749999999 36.327707249999996),4
43,POINT (127.355732 36.366619),4
44,POINT (127.34568 36.368185),2
0,POINT (127.34758696000003 36.331209619999996),49
1,POINT (127.36934754838714 36.35182716129031),113
2,POINT (127.35396922222223 36.332123722222235),18
3,POINT (127.35895393333332 36.33299339999999),15
4,POINT (127.36802979487176 36.335324564102564),39
5,POINT (127.36670123529412 36.34082864705882),17
6,POINT (127.369269637931 36.344972017241375),69
7,POINT (127.34001650000002 36.331878964285714),29
8,POINT (127.33120809999997 36.36678559999999),30
9,POINT (127.36920017948724 36.3579701025641),72
10,POINT (127.36381525396823 36.35849026984127),67
11,POINT (127.35933919767444 36.35743746511629),66
12,POINT (127.34936772580647 36.3517446451613),60
13,POINT (127.34778306451612 36.34780496774194),31
14,POINT (127.3469093809524 36.342673809523795),21
15,POINT (127.34870382608698 36.33793991304349),21
16,POINT (127.31849257142856 36.36681157142858),7
17,POINT (127.36941559999997 36.365230600000004),22
18,POINT (127.32558493749998 36.367260093750005),32
19,POINT (127.33688905000001 36.3630517),82
20,POINT (127.34349983333331 36.36109883333335),81
21,POINT (127.34853886440675 36.359987711864406),59
22,POINT (127.35377729870136 36.358869792207784),77
23,POINT (127.36466730588236 36.354531411764704),84
24,POINT (127.36412836363637 36.36338709090909),11
25,POINT (127.34759063333334 36.35501266666666),32
26,POINT (127.34229257575763 36.354352696969684),65
27,POINT (127.35569674468077 36.35274687234043),64
28,POINT (127.32584560000001 36.3602354),4
29,POINT (127.33235486363634 36.35675931818182),24
30,POINT (127.33749857575758 36.355712757575766),33
31,POINT (127.33925149999999 36.3676516875),15
32,POINT (127.32897166666667 36.351125333333336),12
33,POINT (127.32544900000002 36.34759464705881),17
34,POINT (127.32097833333331 36.34305344444444),18
35,POINT (127.31835528571428 36.33863771428572),7
36,POINT (127.35672963636365 36.36222431818181),23
37,POINT (127.33331707999997 36.3318892),25
38,POINT (127.3402829736842 36.349503921052644),38
39,POINT (127.33975745000002 36.3446775),18
40,POINT (127.3367018181818 36.33884090909092),13
41,POINT (127.33423142857143 36.34941371428572),13
42,POINT (127.36963840000001 36.3293618),5
43,POINT (127.362168 36.36817),1
44,POINT (127.32002279999999 36.3594648),6
45,POINT (127.3181745 36.3323005),2
46,POINT (127.342495 36.338305),3
47,POINT (127.32432533333333 36.332257),3
0,POINT (127.36886684210525 36.334482105263156),20
1,POINT (127.31853314285715 36.359378142857146),14
2,POINT (127.35736405263158 36.33264705263157),18
3,POINT (127.34824083333329 36.33045356060606),66
4,POINT (127.33989107692311 36.331865923076926),13
5,POINT (127.33659644444447 36.33806944444445),18
6,POINT (127.33949533333333 36.344073300000005),30
7,POINT (127.34008139534888 36.349399046511635),43
8,POINT (127.33462 36.34947087999999),25
9,POINT (127.32734382692307 36.34913244230769),57
10,POINT (127.33098516363637 36.356350709090904),48
11,POINT (127.32597105882351 36.35988923529412),34
12,POINT (127.36948589814818 36.35736707407408),108
13,POINT (127.36942283333332 36.36375241666668),36
14,POINT (127.36395567661701 36.35630504477612),201
15,POINT (127.36417300000004 36.361971611111116),17
16,POINT (127.3291437926829 36.36691287804879),68
17,POINT (127.32387546875002 36.36729265625001),31
18,POINT (127.33657271428571 36.36434815476189),71
19,POINT (127.34068031914896 36.36273553191491),48
20,POINT (127.34519579816512 36.36111788073394),111
21,POINT (127.35227547706425 36.359498825688085),104
22,POINT (127.35840421666659 36.35946753333331),107
23,POINT (127.34123880952382 36.35541833333333),0
24,POINT (127.31914535714289 36.36711178571429),14
25,POINT (127.36860832203395 36.343017525423726),59
26,POINT (127.36946890441173 36.352497875),133
27,POINT (127.36895436842104 36.347763315789486),59
28,POINT (127.31864485714287 36.339109357142846),14
29,POINT (127.32121154285716 36.34331671428572),37
30,POINT (127.34765802499999 36.34041107500002),30
31,POINT (127.34757456250003 36.34750258333333),48
32,POINT (127.34807474074074 36.352258574074064),52
33,POINT (127.34842962962965 36.357989370370376),35
34,POINT (127.33654528571427 36.35630653571429),31
35,POINT (127.34182132258064 36.354468048387105),78
36,POINT (127.35839295522386 36.35366688059701),67
37,POINT (127.35358162162161 36.35101451351351),39
38,POINT (127.36639831578945 36.33709452631579),16
39,POINT (127.339439 36.368099),6
40,POINT (127.31844357142857 36.33226214285715),7
41,POINT (127.324388 36.3322482),10
42,POINT (127.33276793749997 36.332369875000005),16
43,POINT (127.36748008333332 36.36729658333333),12
44,POINT (127.34935161538462 36.336697230769225),23
45,POINT (127.36240240000004 36.3650584),16
46,POINT (127.35651482608694 36.36263365217392),36
47,POINT (127.361881 36.33423),4
48,POINT (127.333193 36.367276000000004),26
0,POINT (127.32537462500002 36.367130333333336),71
1,POINT (127.36944574358971 36.3642351025641),38
2,POINT (127.3320330879121 36.36643616483517),95
3,POINT (127.33830341121498 36.364875205607504),107
4,POINT (127.34457026041666 36.36105078645829),188
5,POINT (127.35194194557828 36.35941236054422),145
6,POINT (127.35785982608695 36.35939423913043),125
7,POINT (127.36342199159662 36.35832379831932),113
8,POINT (127.3693581919191 36.35781365656566),99
9,POINT (127.36931746376813 36.35246543478262),138
10,POINT (127.36958441176469 36.33447050000001),35
11,POINT (127.36342594736844 36.33438242105263),18
12,POINT (127.35657436363627 36.3324235),44
13,POINT (127.34911623880603 36.33228862686567),67
14,POINT (127.34452433333334 36.332292611111114),17
15,POINT (127.33912137037035 36.33196674074074),28
16,POINT (127.33913463888888 36.354800374999996),50
17,POINT (127.34766579166666 36.352348291666665),0
18,POINT (127.34795191304349 36.32776008695652),23
19,POINT (127.34932104 36.337583519999995),25
20,POINT (127.3470038787879 36.34202645454543),30
21,POINT (127.3477205396825 36.34950953968253),78
22,POINT (127.34004341666666 36.344116208333325),25
23,POINT (127.34022763157894 36.34924444736842),37
24,POINT (127.35840952777772 36.353749291666645),72
25,POINT (127.3642952195122 36.35468428048782),88
26,POINT (127.31853287499999 36.33890875),8
27,POINT (127.31870945454544 36.35940590909092),11
28,POINT (127.32106159090905 36.34294122727273),22
29,POINT (127.32492773913044 36.346909000000004),23
30,POINT (127.32864740740742 36.35083866666666),27
31,POINT (127.33185255172411 36.35664384482757),57
32,POINT (127.32622145454543 36.3597035),25
33,POINT (127.35300551724136 36.35093268965518),58
34,POINT (127.33690240322579 36.36077254838709),59
35,POINT (127.33426980000002 36.350114999999995),19
36,POINT (127.31870321739129 36.366719260869566),23
37,POINT (127.3691528571429 36.34617781318681),91
38,POINT (127.36479710526316 36.362230157894736),20
39,POINT (127.36340776470588 36.3657464117647),17
40,POINT (127.33701114285718 36.33894257142857),21
41,POINT (127.34751800000001 36.35962357142857),0
42,POINT (127.36663458823529 36.34016317647058),17
43,POINT (127.34210585074631 36.35451923880597),98
44,POINT (127.33280166666663 36.33306966666667),12
45,POINT (127.34820421428574 36.355927),40
46,POINT (127.324163 36.332248),2
47,POINT (127.318341 36.332278),2
48,POINT (127.3181845 36.354749),2
49,POINT (127.323525 36.352521),2
50,POINT (127.35725440000002 36.363592600000004),18
51,POINT (127.34307075000001 36.3401105),7
